DATE,MORTGAGE30US
1/1/2000,8.053461538
1/1/2001,6.967884615
1/1/2002,6.537307692
1/1/2003,5.826981132
1/1/2004,5.839230769
1/1/2005,5.866730769
1/1/2006,6.413269231
1/1/2007,6.337307692
1/1/2008,6.027169811
1/1/2009,5.036538462
1/1/2010,4.689807692
1/1/2011,4.447884615
1/1/2012,3.6575
1/1/2013,3.975576923
1/1/2014,4.168867925
1/1/2015,3.850576923
1/1/2016,3.654038462
1/1/2017,3.989807692
1/1/2018,4.544615385
1/1/2019,3.935769231
1/1/2020,3.111698113
