CutTableBySelection,Measure Names,Measure Values
CAS 2019-R05 G1,Debt to Income Ratio,38.460818628
CAS 2019-R04 G2,Debt to Income Ratio,38.919234605
CAS 2019-R03 G1,Debt to Income Ratio,38.215212783
CAS 2019-R02 G1,Debt to Income Ratio,38.013062018
CAS 2019-R01 G2,Debt to Income Ratio,38.703304554
CAS 2019-HRP1,Debt to Income Ratio,
CAS 2018-R07 G1,Debt to Income Ratio,38.213828288
CAS 2018-C06 G2,Debt to Income Ratio,38.347248159
CAS 2018-C06 G1,Debt to Income Ratio,37.833125669
CAS 2018-C05 G1,Debt to Income Ratio,37.125393589
CAS 2018-C04 G2,Debt to Income Ratio,37.728680992
CAS 2018-C03 G1,Debt to Income Ratio,36.107606255
CAS 2018-C02 G2,Debt to Income Ratio,35.832142829
CAS 2018-C01 G1,Debt to Income Ratio,35.057822811
CAS 2017-C07 G2,Debt to Income Ratio,35.590262339
CAS 2017-C07 G1,Debt to Income Ratio,35.276577144
CAS 2017-C06 G2,Debt to Income Ratio,35.618307310
CAS 2017-C06 G1,Debt to Income Ratio,34.520205836
CAS 2017-C05 G1,Debt to Income Ratio,33.585081177
CAS 2017-C04 G2,Debt to Income Ratio,34.579214734
CAS 2017-C03 G1,Debt to Income Ratio,33.471979267
CAS 2017-C02 G2,Debt to Income Ratio,34.446458884
CAS 2017-C01 G1,Debt to Income Ratio,34.041828086
CAS 2016-C07 G2,Debt to Income Ratio,34.763133757
CAS 2016-C06 G1,Debt to Income Ratio,34.312065792
CAS 2016-C05 G2,Debt to Income Ratio,34.566501151
CAS 2016-C04 G1,Debt to Income Ratio,34.067705978
CAS 2016-C03 G2,Debt to Income Ratio,34.145172602
CAS 2016-C03 G1,Debt to Income Ratio,33.671387396
CAS 2016-C02 G1,Debt to Income Ratio,33.689976627
CAS 2016-C01 G2,Debt to Income Ratio,34.900851593
CAS 2016-C01 G1,Debt to Income Ratio,34.222170713
CAS 2015-C04 G2,Debt to Income Ratio,34.906512404
CAS 2015-C04 G1,Debt to Income Ratio,34.562141748
CAS 2015-C03 G2,Debt to Income Ratio,34.684301311
CAS 2015-C03 G1,Debt to Income Ratio,34.186321238
CAS 2015-C02 G2,Debt to Income Ratio,34.914419484
CAS 2015-C02 G1,Debt to Income Ratio,34.597369674
CAS 2015-C01 G2,Debt to Income Ratio,34.463502343
CAS 2015-C01 G1,Debt to Income Ratio,34.134128611
CAS 2014-C04 G2,Debt to Income Ratio,33.557711522
CAS 2014-C04 G1,Debt to Income Ratio,32.894762056
CAS 2014-C03 G2,Debt to Income Ratio,32.974188378
CAS 2014-C03 G1,Debt to Income Ratio,32.375706413
CAS 2014-C02 G2,Debt to Income Ratio,32.455315963
CAS 2014-C02 G1,Debt to Income Ratio,31.648263879
CAS 2014-C01,Debt to Income Ratio,31.519074283
CAS 2013-C01,Debt to Income Ratio,31.675375750
CAS 2020-R02 G2,CLTV ,92.864478970
CAS 2020-R01 G1,CLTV ,75.956019850
CAS 2019-R07 G1,CLTV ,75.951268354
CAS 2019-R06 G2,CLTV ,93.340087982
CAS 2019-R05 G1,CLTV ,75.897560648
CAS 2019-R04 G2,CLTV ,93.232792332
CAS 2019-R03 G1,CLTV ,76.219678356
CAS 2019-R02 G1,CLTV ,76.181804653
CAS 2019-R01 G2,CLTV ,93.245099533
CAS 2019-HRP1,CLTV ,85.830570466
CAS 2018-R07 G1,CLTV ,76.103847753
CAS 2018-C06 G2,CLTV ,92.755507485
CAS 2018-C06 G1,CLTV ,75.771146918
CAS 2018-C05 G1,CLTV ,75.745433386
CAS 2018-C04 G2,CLTV ,92.763118788
CAS 2018-C03 G1,CLTV ,76.029847623
CAS 2018-C02 G2,CLTV ,92.766872173
CAS 2018-C01 G1,CLTV ,76.276346714
CAS 2017-C07 G2,CLTV ,92.798038054
CAS 2017-C07 G1,CLTV ,75.643491122
CAS 2017-C06 G2,CLTV ,92.303659747
CAS 2017-C06 G1,CLTV ,75.410675745
CAS 2017-C05 G1,CLTV ,75.300744868
CAS 2017-C04 G2,CLTV ,92.042611697
CAS 2017-C03 G1,CLTV ,75.741773434
CAS 2017-C02 G2,CLTV ,92.302295837
CAS 2017-C01 G1,CLTV ,75.827484290
CAS 2016-C07 G2,CLTV ,92.195323770
CAS 2016-C06 G1,CLTV ,75.917036323
CAS 2016-C05 G2,CLTV ,92.273074281
CAS 2016-C04 G1,CLTV ,76.283154893
CAS 2016-C03 G2,CLTV ,91.961221261
CAS 2016-C03 G1,CLTV ,76.074369862
CAS 2016-C02 G1,CLTV ,75.568217892
CAS 2016-C01 G2,CLTV ,91.855717637
CAS 2016-C01 G1,CLTV ,75.848708794
CAS 2015-C04 G2,CLTV ,92.081881623
CAS 2015-C04 G1,CLTV ,76.508309587
CAS 2015-C03 G2,CLTV ,92.231859340
CAS 2015-C03 G1,CLTV ,76.645420919
CAS 2015-C02 G2,CLTV ,92.384528062
CAS 2015-C02 G1,CLTV ,76.249652693
CAS 2015-C01 G2,CLTV ,92.473427736
CAS 2015-C01 G1,CLTV ,76.070437412
CAS 2014-C04 G2,CLTV ,92.042969347
CAS 2014-C04 G1,CLTV ,75.755299305
CAS 2014-C03 G2,CLTV ,91.425664892
CAS 2014-C03 G1,CLTV ,75.378368671
CAS 2014-C02 G2,CLTV ,90.851269682
CAS 2014-C02 G1,CLTV ,74.984468530
CAS 2014-C01,CLTV ,75.182500706
CAS 2013-C01,CLTV ,75.459023138
CAS 2020-R02 G2,LTV ,92.847502763
CAS 2020-R01 G1,LTV ,75.527802633
CAS 2019-R07 G1,LTV ,75.557514445
CAS 2019-R06 G2,LTV ,93.313053216
CAS 2019-R05 G1,LTV ,75.440608435
CAS 2019-R04 G2,LTV ,93.201072224
CAS 2019-R03 G1,LTV ,75.700965537
CAS 2019-R02 G1,LTV ,75.722040650
CAS 2019-R01 G2,LTV ,93.217572124
CAS 2019-HRP1,LTV ,81.475207005
CAS 2018-R07 G1,LTV ,75.635654629
CAS 2018-C06 G2,LTV ,92.726834847
CAS 2018-C06 G1,LTV ,75.286469259
CAS 2018-C05 G1,LTV ,75.310177577
CAS 2018-C04 G2,LTV ,92.732163155
CAS 2018-C03 G1,LTV ,75.535409130
CAS 2018-C02 G2,LTV ,92.741376380
CAS 2018-C01 G1,LTV ,75.764958433
CAS 2017-C07 G2,LTV ,92.758857185
CAS 2017-C07 G1,LTV ,75.113057618
CAS 2017-C06 G2,LTV ,92.259921761
CAS 2017-C06 G1,LTV ,74.856837807
CAS 2017-C05 G1,LTV ,74.791992585
CAS 2017-C04 G2,LTV ,92.017295069
CAS 2017-C03 G1,LTV ,75.203294945
CAS 2017-C02 G2,LTV ,92.282602797
CAS 2017-C01 G1,LTV ,75.278739695
CAS 2016-C07 G2,LTV ,92.172164496
CAS 2016-C06 G1,LTV ,75.366672954
CAS 2016-C05 G2,LTV ,92.251756950
CAS 2016-C04 G1,LTV ,75.591595109
CAS 2016-C03 G2,LTV ,91.934094111
CAS 2016-C03 G1,LTV ,75.330578391
CAS 2016-C02 G1,LTV ,74.817034272
CAS 2016-C01 G2,LTV ,91.811873266
CAS 2016-C01 G1,LTV ,75.228675604
CAS 2015-C04 G2,LTV ,92.065354288
CAS 2015-C04 G1,LTV ,75.856815129
CAS 2015-C03 G2,LTV ,92.213757491
CAS 2015-C03 G1,LTV ,76.025867053
CAS 2015-C02 G2,LTV ,92.365290747
CAS 2015-C02 G1,LTV ,75.671515148
CAS 2015-C01 G2,LTV ,92.451577129
CAS 2015-C01 G1,LTV ,75.475846158
CAS 2014-C04 G2,LTV ,92.014866433
CAS 2014-C04 G1,LTV ,75.015750765
CAS 2014-C03 G2,LTV ,91.380670384
CAS 2014-C03 G1,LTV ,74.583631618
CAS 2014-C02 G2,LTV ,90.799081359
CAS 2014-C02 G1,LTV ,74.156385311
CAS 2014-C01,LTV ,74.440931558
CAS 2013-C01,LTV ,74.786999044
CAS 2020-R02 G2,FICO ,738.922724713
CAS 2020-R01 G1,FICO ,745.310508905
CAS 2019-R07 G1,FICO ,739.908338130
CAS 2019-R06 G2,FICO ,734.285912465
CAS 2019-R05 G1,FICO ,730.427642510
CAS 2019-R04 G2,FICO ,733.307457970
CAS 2019-R03 G1,FICO ,734.247006755
CAS 2019-R02 G1,FICO ,735.710038578
CAS 2019-R01 G2,FICO ,735.512446416
CAS 2019-HRP1,FICO ,746.523533063
CAS 2018-R07 G1,FICO ,734.192103997
CAS 2018-C06 G2,FICO ,738.877524884
CAS 2018-C06 G1,FICO ,735.687212533
CAS 2018-C05 G1,FICO ,740.883248661
CAS 2018-C04 G2,FICO ,738.834424557
CAS 2018-C03 G1,FICO ,741.194967671
CAS 2018-C02 G2,FICO ,740.021877325
CAS 2018-C01 G1,FICO ,743.937667854
CAS 2017-C07 G2,FICO ,739.229627517
CAS 2017-C07 G1,FICO ,742.708342320
CAS 2017-C06 G2,FICO ,740.667103780
CAS 2017-C06 G1,FICO ,746.386511268
CAS 2017-C05 G1,FICO ,752.919067858
CAS 2017-C04 G2,FICO ,746.777404927
CAS 2017-C03 G1,FICO ,753.645043706
CAS 2017-C02 G2,FICO ,746.154014974
CAS 2017-C01 G1,FICO ,749.601934177
CAS 2016-C07 G2,FICO ,742.979662522
CAS 2016-C06 G1,FICO ,746.555293297
CAS 2016-C05 G2,FICO ,744.005531950
CAS 2016-C04 G1,FICO ,748.659913402
CAS 2016-C03 G2,FICO ,746.107923100
CAS 2016-C03 G1,FICO ,752.899341512
CAS 2016-C02 G1,FICO ,753.718126595
CAS 2016-C01 G2,FICO ,742.466477302
CAS 2016-C01 G1,FICO ,748.099417713
CAS 2015-C04 G2,FICO ,741.007563495
CAS 2015-C04 G1,FICO ,746.414713735
CAS 2015-C03 G2,FICO ,742.102463089
CAS 2015-C03 G1,FICO ,748.411385972
CAS 2015-C02 G2,FICO ,743.724429377
CAS 2015-C02 G1,FICO ,747.609517503
CAS 2015-C01 G2,FICO ,748.185002360
CAS 2015-C01 G1,FICO ,752.019545800
CAS 2014-C04 G2,FICO ,754.344400537
CAS 2014-C04 G1,FICO ,759.636452136
CAS 2014-C03 G2,FICO ,756.412186977
CAS 2014-C03 G1,FICO ,762.886172398
CAS 2014-C02 G2,FICO ,757.925636024
CAS 2014-C02 G1,FICO ,765.332281780
CAS 2014-C01,FICO ,766.281257894
CAS 2013-C01,FICO ,766.688958205
CAS 2020-R02 G2,Loan Count,72609
CAS 2020-R01 G1,Loan Count,57170
CAS 2019-R07 G1,Loan Count,50047
CAS 2019-R06 G2,Loan Count,68179
CAS 2019-R05 G1,Loan Count,40598
CAS 2019-R04 G2,Loan Count,46873
CAS 2019-R03 G1,Loan Count,37180
CAS 2019-R02 G1,Loan Count,44066
CAS 2019-R01 G2,Loan Count,51732
CAS 2019-HRP1,Loan Count,613673
CAS 2018-R07 G1,Loan Count,42543
CAS 2018-C06 G2,Loan Count,21797
CAS 2018-C06 G1,Loan Count,28610
CAS 2018-C05 G1,Loan Count,59452
CAS 2018-C04 G2,Loan Count,54959
CAS 2018-C03 G1,Loan Count,64035
CAS 2018-C02 G2,Loan Count,55155
CAS 2018-C01 G1,Loan Count,87862
CAS 2017-C07 G2,Loan Count,24318
CAS 2017-C07 G1,Loan Count,40800
CAS 2017-C06 G2,Loan Count,29910
CAS 2017-C06 G1,Loan Count,35029
CAS 2017-C05 G1,Loan Count,94722
CAS 2017-C04 G2,Loan Count,69765
CAS 2017-C03 G1,Loan Count,86186
CAS 2017-C02 G2,Loan Count,86278
CAS 2017-C01 G1,Loan Count,83532
CAS 2016-C07 G2,Loan Count,40094
CAS 2016-C06 G1,Loan Count,61288
CAS 2016-C05 G2,Loan Count,64256
CAS 2016-C04 G1,Loan Count,74315
CAS 2016-C03 G2,Loan Count,40745
CAS 2016-C03 G1,Loan Count,20748
CAS 2016-C02 G1,Loan Count,57760
CAS 2016-C01 G2,Loan Count,15655
CAS 2016-C01 G1,Loan Count,29564
CAS 2015-C04 G2,Loan Count,24928
CAS 2015-C04 G1,Loan Count,41337
CAS 2015-C03 G2,Loan Count,24001
CAS 2015-C03 G1,Loan Count,40864
CAS 2015-C02 G2,Loan Count,20211
CAS 2015-C02 G1,Loan Count,40765
CAS 2015-C01 G2,Loan Count,20583
CAS 2015-C01 G1,Loan Count,43024
CAS 2014-C04 G2,Loan Count,25440
CAS 2014-C04 G1,Loan Count,58478
CAS 2014-C03 G2,Loan Count,31522
CAS 2014-C03 G1,Loan Count,104139
CAS 2014-C02 G2,Loan Count,24865
CAS 2014-C02 G1,Loan Count,86011
CAS 2014-C01,Loan Count,52283
CAS 2013-C01,Loan Count,42873
CAS 2020-R02 G2,% of Total UPB*,1
CAS 2020-R01 G1,% of Total UPB*,1
CAS 2019-R07 G1,% of Total UPB*,1
CAS 2019-R06 G2,% of Total UPB*,1
CAS 2019-R05 G1,% of Total UPB*,1
CAS 2019-R04 G2,% of Total UPB*,1
CAS 2019-R03 G1,% of Total UPB*,1
CAS 2019-R02 G1,% of Total UPB*,1
CAS 2019-R01 G2,% of Total UPB*,1
CAS 2019-HRP1,% of Total UPB*,1
CAS 2018-R07 G1,% of Total UPB*,1
CAS 2018-C06 G2,% of Total UPB*,1
CAS 2018-C06 G1,% of Total UPB*,1
CAS 2018-C05 G1,% of Total UPB*,1
CAS 2018-C04 G2,% of Total UPB*,1
CAS 2018-C03 G1,% of Total UPB*,1
CAS 2018-C02 G2,% of Total UPB*,1
CAS 2018-C01 G1,% of Total UPB*,1
CAS 2017-C07 G2,% of Total UPB*,1
CAS 2017-C07 G1,% of Total UPB*,1
CAS 2017-C06 G2,% of Total UPB*,1
CAS 2017-C06 G1,% of Total UPB*,1
CAS 2017-C05 G1,% of Total UPB*,1
CAS 2017-C04 G2,% of Total UPB*,1
CAS 2017-C03 G1,% of Total UPB*,1.000000000
CAS 2017-C02 G2,% of Total UPB*,1
CAS 2017-C01 G1,% of Total UPB*,1
CAS 2016-C07 G2,% of Total UPB*,1
CAS 2016-C06 G1,% of Total UPB*,0.999983358
CAS 2016-C05 G2,% of Total UPB*,1
CAS 2016-C04 G1,% of Total UPB*,1
CAS 2016-C03 G2,% of Total UPB*,1
CAS 2016-C03 G1,% of Total UPB*,1
CAS 2016-C02 G1,% of Total UPB*,1
CAS 2016-C01 G2,% of Total UPB*,1
CAS 2016-C01 G1,% of Total UPB*,0.999973014
CAS 2015-C04 G2,% of Total UPB*,0.999967931
CAS 2015-C04 G1,% of Total UPB*,1
CAS 2015-C03 G2,% of Total UPB*,1
CAS 2015-C03 G1,% of Total UPB*,0.999982868
CAS 2015-C02 G2,% of Total UPB*,0.999994794
CAS 2015-C02 G1,% of Total UPB*,1
CAS 2015-C01 G2,% of Total UPB*,0.999973723
CAS 2015-C01 G1,% of Total UPB*,0.999970468
CAS 2014-C04 G2,% of Total UPB*,1
CAS 2014-C04 G1,% of Total UPB*,1
CAS 2014-C03 G2,% of Total UPB*,1
CAS 2014-C03 G1,% of Total UPB*,0.999996215
CAS 2014-C02 G2,% of Total UPB*,1
CAS 2014-C02 G1,% of Total UPB*,0.999989566
CAS 2014-C01,% of Total UPB*,1
CAS 2013-C01,% of Total UPB*,0.999987435
CAS 2020-R02 G2,UPB ($M)  ,17297615934.3
CAS 2020-R01 G1,UPB ($M)  ,13853021124.88
CAS 2019-R07 G1,UPB ($M)  ,10869648901.04
CAS 2019-R06 G2,UPB ($M)  ,14794464736.94
CAS 2019-R05 G1,UPB ($M)  ,8167656645.32
CAS 2019-R04 G2,UPB ($M)  ,9604115999.96
CAS 2019-R03 G1,UPB ($M)  ,7498007276.49
CAS 2019-R02 G1,UPB ($M)  ,9096966648.3
CAS 2019-R01 G2,UPB ($M)  ,10660733670.59
CAS 2019-HRP1,UPB ($M)  ,75937853267.94
CAS 2018-R07 G1,UPB ($M)  ,8916665428.04
CAS 2018-C06 G2,UPB ($M)  ,4680328629.94
CAS 2018-C06 G1,UPB ($M)  ,6107439351.38
CAS 2018-C05 G1,UPB ($M)  ,13180192218.74
CAS 2018-C04 G2,UPB ($M)  ,11650306068.76
CAS 2018-C03 G1,UPB ($M)  ,13984651006.04
CAS 2018-C02 G2,UPB ($M)  ,11533537147.61
CAS 2018-C01 G1,UPB ($M)  ,18756659568.77
CAS 2017-C07 G2,UPB ($M)  ,4988638186.75
CAS 2017-C07 G1,UPB ($M)  ,8487282984.83
CAS 2017-C06 G2,UPB ($M)  ,6191772997.76
CAS 2017-C06 G1,UPB ($M)  ,7662802902.07
CAS 2017-C05 G1,UPB ($M)  ,22135109372.52
CAS 2017-C04 G2,UPB ($M)  ,15595039128.33
CAS 2017-C03 G1,UPB ($M)  ,19736670292.2
CAS 2017-C02 G2,UPB ($M)  ,18724468110.24
CAS 2017-C01 G1,UPB ($M)  ,18517476969.01
CAS 2016-C07 G2,UPB ($M)  ,8466074856.77
CAS 2016-C06 G1,UPB ($M)  ,12777084693.34
CAS 2016-C05 G2,UPB ($M)  ,13124055443.83
CAS 2016-C04 G1,UPB ($M)  ,15382990641.19
CAS 2016-C03 G2,UPB ($M)  ,8499942175.99
CAS 2016-C03 G1,UPB ($M)  ,4534674021.29
CAS 2016-C02 G1,UPB ($M)  ,12792611118.74
CAS 2016-C01 G2,UPB ($M)  ,3118853562.95
CAS 2016-C01 G1,UPB ($M)  ,6107359129.91
CAS 2015-C04 G2,UPB ($M)  ,4746424781.09
CAS 2015-C04 G1,UPB ($M)  ,7918422592.16
CAS 2015-C03 G2,UPB ($M)  ,4406994422.36
CAS 2015-C03 G1,UPB ($M)  ,7445115331.52
CAS 2015-C02 G2,UPB ($M)  ,3575791661.74
CAS 2015-C02 G1,UPB ($M)  ,7208888002.8
CAS 2015-C01 G2,UPB ($M)  ,3717430942.23
CAS 2015-C01 G1,UPB ($M)  ,7877841160.64
CAS 2014-C04 G2,UPB ($M)  ,5217031055.51
CAS 2014-C04 G1,UPB ($M)  ,12454193498.34
CAS 2014-C03 G2,UPB ($M)  ,6503939020.16
CAS 2014-C03 G1,UPB ($M)  ,23445583358.3
CAS 2014-C02 G2,UPB ($M)  ,5267315918.67
CAS 2014-C02 G1,UPB ($M)  ,19903772482.54
CAS 2014-C01,UPB ($M)  ,11818038643.67
CAS 2013-C01,UPB ($M)  ,9454793478.56
