CutTableBySelection,Measure Names,Measure Values
CAS 2020-R01 G1,SFHA UPB (%),0.035799733
CAS 2019-R07 G1,SFHA UPB (%),0.041768966
CAS 2019-R06 G2,SFHA UPB (%),0.033246920
CAS 2019-R05 G1,SFHA UPB (%),0.040318504
CAS 2019-R04 G2,SFHA UPB (%),0.034085786
CAS 2019-R03 G1,SFHA UPB (%),0.040391094
CAS 2019-R02 G1,SFHA UPB (%),0.040466374
CAS 2019-R01 G2,SFHA UPB (%),0.032809181
CAS 2019-HRP1,SFHA UPB (%),0
CAS 2018-R07 G1,SFHA UPB (%),0.040551681
CAS 2018-C06 G2,SFHA UPB (%),0.033411651
CAS 2018-C06 G1,SFHA UPB (%),0.039707745
CAS 2018-C05 G1,SFHA UPB (%),0.035739026
CAS 2018-C04 G2,SFHA UPB (%),0.029450485
CAS 2018-C03 G1,SFHA UPB (%),0.033082875
CAS 2018-C02 G2,SFHA UPB (%),0.029296446
CAS 2018-C01 G1,SFHA UPB (%),0.038227649
CAS 2017-C07 G2,SFHA UPB (%),0.023608638
CAS 2017-C07 G1,SFHA UPB (%),0.027924201
CAS 2017-C06 G2,SFHA UPB (%),0.031911126
CAS 2017-C06 G1,SFHA UPB (%),0.035310757
CAS 2017-C05 G1,SFHA UPB (%),0.031417970
CAS 2017-C04 G2,SFHA UPB (%),0.026349253
CAS 2017-C03 G1,SFHA UPB (%),0.031782599
CAS 2017-C02 G2,SFHA UPB (%),0.026404068
CAS 2017-C01 G1,SFHA UPB (%),0.034307069
CAS 2016-C07 G2,SFHA UPB (%),0.031285919
CAS 2016-C06 G1,SFHA UPB (%),0.035787384
CAS 2016-C05 G2,SFHA UPB (%),0.027477902
CAS 2016-C04 G1,SFHA UPB (%),0.035748169
CAS 2016-C03 G2,SFHA UPB (%),0.028828571
CAS 2016-C03 G1,SFHA UPB (%),0.037135682
CAS 2016-C02 G1,SFHA UPB (%),0.033204852
CAS 2016-C01 G2,SFHA UPB (%),0.031752451
CAS 2016-C01 G1,SFHA UPB (%),0.036905635
CAS 2015-C04 G2,SFHA UPB (%),0.030708687
CAS 2015-C04 G1,SFHA UPB (%),0.039716688
CAS 2015-C03 G2,SFHA UPB (%),0.029495870
CAS 2015-C03 G1,SFHA UPB (%),0.040700354
CAS 2015-C02 G2,SFHA UPB (%),0.028437483
CAS 2015-C02 G1,SFHA UPB (%),0.040448426
CAS 2015-C01 G2,SFHA UPB (%),0.030399213
CAS 2015-C01 G1,SFHA UPB (%),0.045583675
CAS 2014-C04 G2,SFHA UPB (%),0.026001173
CAS 2014-C04 G1,SFHA UPB (%),0.038716183
CAS 2014-C03 G2,SFHA UPB (%),0.025439707
CAS 2014-C03 G1,SFHA UPB (%),0.036789469
CAS 2014-C02 G2,SFHA UPB (%),0.023849402
CAS 2014-C02 G1,SFHA UPB (%),0.032037377
CAS 2014-C01,SFHA UPB (%),0.030050919
CAS 2013-C01,SFHA UPB (%),0.033797619
CAS 2020-R02 G2,Only PR/VI (%),0
CAS 2020-R01 G1,Only PR/VI (%),0
CAS 2019-R07 G1,Only PR/VI (%),0
CAS 2019-R06 G2,Only PR/VI (%),0
CAS 2019-R05 G1,Only PR/VI (%),0
CAS 2019-R04 G2,Only PR/VI (%),0
CAS 2019-R03 G1,Only PR/VI (%),0
CAS 2019-R02 G1,Only PR/VI (%),0
CAS 2019-R01 G2,Only PR/VI (%),0
CAS 2019-HRP1,Only PR/VI (%),0
CAS 2018-R07 G1,Only PR/VI (%),0
CAS 2018-C06 G2,Only PR/VI (%),0
CAS 2018-C06 G1,Only PR/VI (%),0
CAS 2018-C05 G1,Only PR/VI (%),0
CAS 2018-C04 G2,Only PR/VI (%),0
CAS 2018-C03 G1,Only PR/VI (%),0
CAS 2018-C02 G2,Only PR/VI (%),0.000301640
CAS 2018-C01 G1,Only PR/VI (%),0.001114241
CAS 2017-C07 G2,Only PR/VI (%),0
